"keys","pt","en"
"Você entrará rápido neste reino e sairá rápido —
transformado em outro alguém, ou em outra coisa.
Antes de entrar, responsabilize-se pela sua escolha.
Algumas escolhas, como esta, não têm volta —
mesmo sendo só um app.","Você entrará rápido neste reino e sairá rápido —
transformado em outro alguém, ou em outra coisa.
Antes de entrar, responsabilize-se pela sua escolha.
Algumas escolhas, como esta, não têm volta —
mesmo sendo só um app.","You will enter this realm quickly and leave it quickly —
turned into someone else, or into something else.
Before you enter, take responsibility for your choice.
Some choices, like this one, cannot be undone —
even if this is only an app."
"Deixo tudo na Porta e entro.","Deixo tudo na Porta e entro.","I leave everything at the Door and enter."
"Desisto e apago o app.","Desisto e apago o app.","I give up and delete the app."
"LOADING REINO.SYS...","LOADING REINO.SYS...","LOADING REALM.SYS..."
"CONEXÃO ESTABELECIDA","CONEXÃO ESTABELECIDA","CONNECTION ESTABLISHED"
"posso passar?","posso passar?","may I pass?"
"riscar de novo","riscar de novo","trace again"
"atravessar","atravessar","cross over"
"Ainda não, risca mais!","Ainda não, risca mais!","Not yet, trace more!"
"Isso não é o ponto. Segue o risco.","Isso não é o ponto. Segue o risco.","That is not the sigil. Follow the lines."
"os três estão riscados","os três estão riscados","all three are traced"
"agora o ponto de %s","agora o ponto de %s","now the sigil of %s"
"firmeza %d","firmeza %d","firmness %d"
"risca o ponto, depois pergunta","risca o ponto, depois pergunta","trace the sigil, then ask"
"Você renega o teu passado
e tudo falso que você serviu?","Você renega o teu passado
e tudo falso que você serviu?","Do you renounce your past
and every lie you have served?"
"SIM","SIM","YES"
"NÃO","NÃO","NO"
"Bem-vindo de volta ao lar!","Bem-vindo de volta ao lar!","Welcome back home!"
"W para andar · duplo clique pegue a cruz","W para andar · duplo clique pegue a cruz","W to walk · double-click to take the cross"
"duplo clique no forno","duplo clique no forno","double-click the furnace"
"duplo clique atire no fogo","duplo clique atire no fogo","double-click to throw it into the fire"
"arrasta uma oferenda para o assentamento","arrasta uma oferenda para o assentamento","drag an offering onto the altar"
"escrever um pedido","escrever um pedido","write a wish"
"escreva o que tu quer","escreva o que tu quer","write what you want"
"escreva aqui","escreva aqui","write here"
"deitar ao caldeirão","deitar ao caldeirão","cast into the cauldron"
"voltar","voltar","back"
"recomeçar (debug)","recomeçar (debug)","restart (debug)"
"no caldeirão, a arder","no caldeirão, a arder","in the cauldron, burning"
"Vela preta","Vela preta","Black candle"
"Vela vermelha","Vela vermelha","Red candle"
"Vela branca","Vela branca","White candle"
"Cigarro","Cigarro","Cigarette"
"Charuto","Charuto","Cigar"
"Marafo","Marafo","Cane liquor"
"Navalha","Navalha","Razor"
"Pimenta","Pimenta","Chili pepper"
"Rosas negras","Rosas negras","Black roses"
"Sangue","Sangue","Blood"
